0x803D,0x8017,0x7F,0x98
0x7FCD,0x7FD4,0x9D,0x8F
0x8061,0x8075,0x9E,0x76
0x7F7C,0x7FED,0x88,0x54
0x7FF3,0x7FEF,0x86,0x91
0x7FF6,0x7FFD,0x9C,0x85
0x7F56,0x8031,0x99,0x75
0x7F79,0x7FD0,0x92,0x68
0x7F8C,0x7FB3,0x9B,0x61
0x8041,0x7FCF,0x66,0x6C
0x8061,0x7F94,0x8E,0x93
0x8022,0x7FDE,0x87,0x8C
0x801D,0x7FDC,0x9A,0xA6
0x8073,0x801E,0xA3,0x84
0x80AB,0x7FB8,0x5B,0x67
0x7FC9,0x7FF4,0x7F,0xA4
0x8018,0x7F75,0x84,0x67
0x8011,0x7FCC,0x79,0xAB
0x806F,0x7F96,0xB3,0x96
0x7FEB,0x7F86,0x9A,0x92
0x806A,0x7F84,0x78,0x8E
0x7FF0,0x7FB9,0x94,0x92
0x7FC3,0x800F,0x6B,0x79
0x7F82,0x7FDA,0x79,0x61
0x7FC6,0x7F56,0x6E,0x77
0x7FD7,0x8039,0x5C,0x67
0x7FB0,0x7F7A,0x88,0x87
0x7F70,0x805E,0x91,0x77
0x7FDC,0x8052,0x9F,0xA3
0x8032,0x8072,0x65,0x68
0x8064,0x7FEB,0x62,0x9A
0x80AF,0x7FB6,0x81,0x73
0x8090,0x8030,0x73,0x7B
0x7FF0,0x7FAD,0x7F,0x6F
0x8000,0x8046,0x8D,0x84
0x800C,0x7FB5,0x92,0x9F
0x805E,0x7FCD,0x9C,0x75
0x7FF9,0x8028,0xB0,0x93
0x8088,0x7FE9,0x7A,0x8B
0x7FCD,0x7F5F,0x93,0x87
0x7FF2,0x8042,0x81,0x6B
0x7FF9,0x8021,0x75,0x98
0x7FC4,0x806F,0x89,0x81
0x802C,0x7F9C,0x72,0x83
0x7FF0,0x7FDA,0x88,0x83
0x8034,0x801C,0x9C,0x82
0x7FA2,0x8030,0x7B,0x9E
0x7FAF,0x7FA4,0x7D,0x89
0x7FF3,0x7F4C,0x8F,0x81
0x7FB4,0x7FC4,0x7D,0x89
0x803E,0x8037,0x77,0x6B
0x8103,0x7FBB,0x6E,0x7D
0x7F99,0x7F93,0x7A,0x84
0x7F71,0x801B,0x8C,0x97
0x7FF3,0x8024,0x86,0x75
0x80D4,0x800D,0x9B,0x6A
0x8014,0x7FDA,0x7C,0x88
0x7FF2,0x8039,0x85,0x74
