a_up,a_down,b_up,b_down,¹«Ê½£ºx=ay-(b+c)
0x8059,0x8054,0x91,0x8E,
0x7FF6,0x8071,0x87,0x93,
0x80B2,0x80FB,0x94,0x6E,
0x8052,0x808F,0x78,0x94,
0x8082,0x7FE3,0x88,0x7D,
0x7E88,0x80F8,0xB1,0x83,
0x801D,0x8122,0x83,0x77,
0x805D,0x8037,0x7C,0x6C,
0x8010,0x80A6,0x8B,0x7E,
0x7FCB,0x8100,0x9F,0x89,
0x80DE,0x80BC,0x71,0x87,
0x807A,0x7F68,0x8F,0xB0,
0x806A,0x80D8,0x72,0x88,
0x7F69,0x8117,0x84,0x81,
0x8079,0x80D9,0x81,0x87,
0x8059,0x80BE,0x8B,0x81,
0x7F67,0x8191,0x83,0x87,
0x7F86,0x814A,0x6C,0x8E,
0x80FF,0x809C,0x80,0xA4,
0x80DB,0x80C5,0x86,0x7E,
0x80D1,0x817F,0x7B,0x90,
0x801C,0x80BA,0x77,0x84,
0x7FC5,0x8042,0x70,0x9C,
0x7FC2,0x80F9,0x94,0xAB,
0x7EFE,0x80D9,0xAF,0x74,
0x80A9,0x80E9,0x7A,0xA9,
0x7F9E,0x80D0,0x54,0x6E,
0x80EB,0x8186,0x6E,0x83,
0x7F87,0x809E,0x5F,0x9D,
0x8082,0x8191,0x8D,0x90,
0x7FA7,0x804F,0x7F,0x97,
0x80A5,0x809A,0x86,0xA9,
0x7F6D,0x80E4,0x92,0x92,
0x7F72,0x8148,0x80,0x81,
0x7FFF,0x80CA,0x78,0x9F,
0x7F9B,0x7FBF,0x83,0xA5,
0x8040,0x8082,0x80,0x6F,
0x7F2C,0x80A5,0x8E,0x87,
0x80C2,0x7F25,0x72,0xB3,
0x803A,0x80B2,0x98,0x92,
0x8100,0x81D4,0x7D,0x77,
0x8000,0x8076,0x7C,0x84,
0x80E3,0x81D5,0x62,0x80,
0x7FC4,0x8097,0x8E,0x9F,
0x8034,0x8148,0x7C,0xA0,
0x80B3,0x8130,0x83,0x9F,
0x8014,0x81A0,0xA0,0x96,
0x7FAE,0x81BA,0x88,0x99,
0x80C6,0x80D3,0x8F,0x73,
0x7F26,0x804E,0x64,0x7D,
0x8073,0x80B4,0x88,0xA5,
0x8078,0x80E0,0x97,0xA5,
0x7F53,0x80EC,0x9D,0x94,
0x80F3,0x805F,0x75,0x98,
0x8013,0x80D3,0x68,0x86,
0x7F50,0x80D3,0x94,0x97,
0x803A,0x81B2,0x71,0x8A,
0x8052,0x8059,0x93,0xA9,
0x8033,0x8192,0x68,0x6F,
0x804A,0x8099,0x77,0xA0,
0x7F58,0x8196,0x9D,0x86,
0x7FCE,0x805C,0x9A,0xA8,
0x802A,0x80B8,0x6A,0x8B,
0x7F82,0x80C5,0x7D,0x9E,
0x812C,0x820C,0x84,0x87,
0x7FF2,0x8283,0x83,0x72,
0x7F23,0x8220,0xA4,0x89,
0x8021,0x816A,0x84,0x6D,
0x807F,0x8106,0x8D,0x9B,
0x807F,0x817A,0x7B,0x58,
0x7F24,0x8113,0x8A,0xBA,
0x80B0,0x80CF,0x73,0xA5,
0x7F9A,0x818B,0x97,0x84,
0x8042,0x81A8,0x91,0x87,
0x7FDA,0x81CD,0x67,0x5F,
0x8014,0x825F,0x81,0x81,
0x7F7D,0x811C,0x97,0x96,
0x7FEF,0x8115,0x9B,0x92,
0x800B,0x8259,0x82,0x67,
0x80D9,0x815F,0x71,0x62,
0x801A,0x809F,0x7E,0x95,
0x80B0,0x8236,0x7C,0x7F,
0x80F3,0x81E2,0x82,0x7C,
0x801B,0x8078,0x7F,0xBE,
0x80AD,0x8130,0x86,0x79,
0x7F5F,0x805B,0xA6,0x87,
0x7FB9,0x8037,0x86,0x74,
0x7F42,0x8049,0x99,0x9D,
0x7F6C,0x811B,0xA9,0x95,
0x7FFC,0x8155,0x8E,0x73,
0x7FED,0x81DF,0x9D,0x81,
0x805C,0x801B,0x80,0x72,
0x803C,0x8116,0x91,0x70,
0x7FEE,0x8170,0x91,0x81,
0x7FD0,0x811F,0x78,0xA0,
0x7F3F,0x8174,0x5C,0x9D,
0x80B4,0x80A6,0x77,0x97,
0x817D,0x7F8E,0x77,0x9D,
0x8051,0x80D8,0x88,0x87,
0x813D,0x8002,0x70,0x9B,
0x7FF2,0x7F9B,0x95,0xA0,
0x8019,0x8095,0x70,0xA8,
0x804C,0x8111,0x74,0x8A,
0x7FDA,0x80DA,0x8E,0x86,
0x8093,0x80AA,0x8E,0x94,
0x7F4B,0x8026,0x8E,0xA3,
0x7F3A,0x81D5,0xA3,0x85,
0x8082,0x807C,0x77,0x5F,
0x8020,0x7FDC,0x6C,0x99,
0x7FAD,0x8160,0x64,0x6D,
0x7F79,0x8178,0xA2,0x7E,
0x8025,0x80BB,0x9A,0x6C,
0x7F96,0x81A1,0x76,0x94,
0x805D,0x8011,0x7C,0x9E,
0x8093,0x8005,0x7E,0x85,
0x808C,0x7FC5,0x72,0xAF,
0x7F76,0x813A,0xBE,0x88,
0x80D8,0x80D8,0x80,0x89,
0x806D,0x7FF4,0x87,0x93,
0x80FC,0x80E1,0x7B,0x7E,
0x8016,0x81DD,0x4D,0x83,
0x8103,0x811B,0x83,0x80,
0x7F99,0x8058,0x99,0xAB,
0x8043,0x80F9,0x73,0x72,
0x7FD7,0x80BC,0x99,0x8B,
0x7F53,0x8138,0x6C,0x76,
0x7F8D,0x808F,0xAA,0x98,
0x8099,0x808D,0x6C,0x7F,
0x801F,0x806C,0x69,0x99,
0x7EE0,0x823C,0x9D,0x8F,
0x803C,0x8158,0x87,0x8C,
0x7FB2,0x8096,0x8F,0xA1,
0x7EE8,0x8144,0x72,0x7F,
0x7F99,0x802A,0x84,0x86,
0x804A,0x8038,0x83,0x9C,
0x80EE,0x80D8,0x65,0x6E,
0x808D,0x8167,0x77,0x86,
0x8053,0x8139,0x8C,0x95,
0x7FAE,0x80AB,0x8C,0x7E,
0x803E,0x8095,0x6D,0x5F,
0x8066,0x8131,0x8B,0x78,
0x7F56,0x812A,0xB4,0x77,
0x7FDC,0x81F3,0x62,0x62,
0x7FE2,0x800C,0x92,0x9A,
0x801A,0x820F,0x67,0x77,
0x8016,0x8063,0x87,0x6E,
0x7F94,0x8012,0x8B,0xA6,
0x7FB0,0x7FD2,0x5D,0x96,
0x7FD1,0x8157,0x8E,0x84,
0x8081,0x813C,0x6E,0xA7,
0x7F58,0x80EE,0x5C,0x84,
0x8038,0x804A,0x7E,0x9A,
0x8024,0x8119,0x63,0x71,
0x7FC2,0x8115,0xA2,0x7D,
0x811A,0x8055,0x82,0xA7,
0x8057,0x8119,0x8E,0x93,
0x8003,0x8161,0x96,0x81,
0x8013,0x80BD,0x8B,0x91,
0x7FFD,0x7FF6,0x85,0x9E,
0x7F31,0x815D,0x85,0x74,
0x7F22,0x8152,0x7F,0x9A,
0x8049,0x80AB,0x7F,0xA0,
0x7F31,0x8094,0x98,0x93,
0x811C,0x8164,0x7F,0x69,
0x7FAF,0x80F8,0x89,0x71,
0x80A3,0x8076,0x8E,0x96,
0x8031,0x80DD,0x7C,0x61,
0x7F68,0x8127,0xAC,0x7D,
0x7F75,0x828D,0x6E,0x6A,
0x8076,0x8097,0x59,0x96,
0x80D1,0x808F,0x81,0x73,
0x7FC4,0x802C,0x8C,0xBB,
0x80C1,0x816D,0x83,0x79,
0x7FD7,0x813E,0x5D,0x8C,
0x8034,0x80A6,0x84,0xA1,
0x8078,0x8106,0x9A,0x60,
0x7FA3,0x8229,0x85,0x88,
0x8095,0x8189,0x8E,0x76,
0x7FB8,0x8079,0x71,0x60,
0x7F3F,0x7FD9,0x66,0x8A,
0x7FB1,0x80AF,0x8E,0x84,
0x8064,0x80A9,0x76,0x8C,
0x8012,0x8102,0x9B,0x85,
0x7F9C,0x811C,0x9E,0x7D,
0x8040,0x80E8,0x5A,0x93,
0x7FA0,0x80BC,0x94,0x6F,
0x8033,0x8027,0x56,0x99,
0x7F21,0x8085,0xC1,0x92,
0x8043,0x802D,0x83,0x87,
0x7FF6,0x8121,0x8B,0x90,
0x8058,0x80E0,0x73,0x7C,
0x80A3,0x8085,0x87,0x6E,
0x8074,0x8118,0x8A,0x69,
0x8069,0x7FD3,0x6B,0x8C,
0x808A,0x801E,0x80,0x62,
0x80B3,0x8026,0x90,0x88,
0x7F81,0x8132,0x83,0x71,
0x806C,0x8175,0x6E,0x8C,
0x7FC6,0x80EB,0x7E,0xA4,
0x8051,0x8098,0x62,0x87,
0x7F60,0x7FDF,0x93,0x80,
0x7FD9,0x8126,0x83,0x63,
0x805D,0x802F,0x77,0x78,
0x7FC3,0x8027,0x6E,0x75,
0x7F83,0x80C1,0x8A,0x82,
0x7FF5,0x8116,0x83,0x65,
0x808F,0x7FB7,0x81,0x8E,
0x7ED7,0x8057,0x96,0x87,
0x7F9D,0x8096,0x81,0x7D,
0x8009,0x805B,0x88,0x85,
0x802E,0x8164,0x83,0x86,
0x8071,0x81A4,0x95,0x7D,
0x7F54,0x80D2,0x90,0x72,
0x7FED,0x808B,0x89,0x96,
0x8066,0x802F,0xA9,0x68,
0x7FDC,0x80DD,0x89,0x88,
0x7F34,0x80D8,0x6E,0x99,
0x8016,0x8018,0x8F,0x93,
0x803B,0x80B5,0x75,0x92,
0x8182,0x815C,0x7D,0x55,
0x7FCF,0x8177,0x99,0x8C,
0x7FE8,0x8087,0x9F,0x8E,
0x7FFC,0x80A6,0x94,0x91,
0x80AA,0x803F,0x98,0x89,
0x80FE,0x807C,0x89,0xA7,
0x7FCC,0x8138,0x87,0x68,
0x8007,0x812D,0x9C,0xA5,
0x7FA9,0x8001,0x5F,0x93,
0x7FEF,0x8105,0x6F,0x97,
0x7F73,0x811B,0x6D,0xB2,
0x80BD,0x8021,0x79,0x88,
0x80F2,0x817A,0x7C,0x85,
0x7FA6,0x803A,0x60,0x8F,
0x7F79,0x80DE,0x99,0x71,
0x800A,0x80B3,0xAB,0xA0,
0x801A,0x80D8,0x60,0x8A,
0x7F8D,0x7FFF,0x99,0x84,
0x8031,0x81F2,0x99,0x7E,
0x7F4B,0x8013,0x6B,0xA9,
0x803D,0x7FD8,0x70,0xAF,
0x7FA8,0x80D9,0x9A,0x7A,
0x7FB3,0x806B,0x9A,0xAE,
0x7FE6,0x80A3,0x8E,0xAC,
0x801D,0x8129,0x50,0x92,
0x8089,0x8077,0x8A,0x97,
0x7F9C,0x80EF,0x92,0x90,
0x80D7,0x8123,0x7C,0x82,
0x8014,0x8152,0x9A,0x8F,
0x7FE1,0x80DB,0x9E,0x91,
0x7FC9,0x7FDF,0xAD,0x8F,
0x803A,0x80F0,0x96,0x78,
0x7F97,0x805D,0x82,0x8E,
0x807F,0x804A,0x84,0x96,
0x8018,0x8125,0x5B,0x66,
0x8044,0x8058,0x84,0x9B,
