a,b,,,
0x7FE3,0x8,,,
0x7FFD,0x9,,,
0x7FE8,0x8,,,
0x8007,0xA,,,
0x8004,0x7,,,
0x7FC2,0x9,,,
0x7FDB,0x8,,,
0x8007,0x7,,,
0x8026,0x8,,,
0x8114,0x9,,,
0x7F8D,0x8,,,
0x7FC7,0xB,,,
0x801E,0x8,,,
0x7FF5,0x8,,,
0x7FED,0x6,,,
0x7F86,0xB,,,
0x7F7D,0x6,,,
0x808E,0xA,,,
0x80A1,0x9,,,
0x7FD7,0x8,,,
0x7F45,0x8,,,
0x7FCA,0x9,,,
0x8051,0x8,,,
0x7FCC,0x8,,,
0x800B,0x8,,,
0x7FE0,0x8,,,
0x809E,0x8,,,
0x7F95,0x9,,,
0x7F51,0x7,,,
0x7FEA,0x8,,,
0x7FD0,0xA,,,
0x80B8,0x8,,,
0x7FC4,0x8,,,
0x800F,0x7,,,
0x8001,0x9,,,
0x8035,0x9,,,
0x80A2,0x9,,,
0x7FD9,0x8,,,
0x8037,0x9,,,
0x8026,0x8,,,
0x7F69,0x7,,,
0x7FF0,0x8,,,
0x7F9F,0x9,,,
0x7FA4,0x8,,,
0x7FB4,0x8,,,
0x7FFD,0xA,,,
0x804D,0x8,,,
0x8071,0xA,,,
0x80CA,0x9,,,
0x804B,0x8,,,
0x808A,0x9,,,
0x7FCC,0x7,,,
0x7FA6,0x9,,,
0x807C,0x7,,,
0x7F9F,0x8,,,
0x7FDA,0xA,,,
0x803C,0x7,,,
0x8015,0x9,,,
0x803C,0x8,,,
0x7FC5,0x9,,,
0x7F7D,0x7,,,
0x7FC1,0x9,,,
0x8034,0x9,,,
0x8042,0x7,,,
0x802D,0x8,,,
0x7FFF,0x9,,,
0x8013,0x8,,,
0x8019,0x8,,,
0x800C,0xA,,,
0x7F70,0x6,,,
0x80EF,0xC,,,
0x801F,0x8,,,
0x803B,0x7,,,
0x7FE7,0x9,,,
0x8042,0xA,,,
0x80D3,0x8,,,
0x8058,0x8,,,
0x7FFF,0x9,,,
0x7F88,0x8,,,
0x7F7D,0x8,,,
0x7FF5,0x8,,,
0x7F7A,0x8,,,
0x7F67,0x8,,,
0x7FF6,0x8,,,
0x7FB7,0x7,,,
0x7FFA,0x8,,,
0x8114,0x9,,,
0x7FC1,0x8,,,
0x7FF9,0x8,,,
0x7F32,0x9,,,
0x8057,0x8,,,
0x7FB1,0x8,,,
0x7F4D,0x9,,,
0x8019,0x9,,,
0x7F4E,0x6,,,
0x7FA5,0x9,,,
0x7FFB,0x8,,,
0x8009,0x8,,,
0x8062,0x9,,,
0x8083,0x8,,,
0x7FAA,0x8,,,
0x7FCB,0x9,,,
0x8042,0x9,,,
0x807C,0x9,,,
0x802D,0x8,,,
0x7FA8,0x7,,,
0x7FF6,0xA,,,
0x807A,0x9,,,
0x7F74,0x8,,,
0x7FFA,0x6,,,
0x7F58,0x7,,,
0x8042,0x9,,,
0x7F82,0x9,,,
0x7FFE,0x8,,,
0x8005,0x7,,,
0x8037,0x9,,,
0x7F55,0x7,,,
0x7FBA,0xA,,,
0x8047,0x8,,,
0x7FDB,0x8,,,
0x80D1,0x8,,,
0x8012,0x8,,,
0x7FBE,0x9,,,
0x809D,0x8,,,
0x7FAE,0x9,,,
0x7F2D,0x8,,,
0x7FCE,0x8,,,
0x804B,0x8,,,
0x808E,0x8,,,
0x7F5E,0x9,,,
0x8055,0x8,,,
0x80AF,0x9,,,
0x7FF8,0x8,,,
0x8057,0x9,,,
0x7FE6,0x7,,,
0x8043,0x9,,,
0x7F48,0x8,,,
0x8002,0x8,,,
0x8006,0xB,,,
0x8028,0x7,,,
0x808C,0xA,,,
0x80B1,0x7,,,
0x7F26,0x8,,,
0x7FF9,0x8,,,
0x801C,0xA,,,
0x8010,0x8,,,
0x7FA6,0x6,,,
0x7EEA,0x6,,,
0x8016,0x9,,,
0x8051,0xA,,,
0x8029,0x8,,,
0x8046,0x8,,,
0x7F92,0x8,,,
0x7FE7,0x9,,,
0x803A,0x7,,,
0x8068,0x8,,,
0x8051,0x8,,,
0x800B,0x9,,,
0x7FAD,0x8,,,
0x7F59,0x9,,,
0x801C,0x8,,,
0x7FAA,0x7,,,
0x8048,0x9,,,
0x8093,0xA,,,
0x8085,0x8,,,
0x7F9D,0x8,,,
0x7F7A,0x7,,,
0x809B,0xB,,,
0x7F79,0x7,,,
0x8002,0x8,,,
0x7FF4,0x7,,,
0x8088,0xB,,,
0x8036,0x7,,,
0x7FEC,0x9,,,
0x8050,0x8,,,
0x8024,0x8,,,
0x7F66,0x9,,,
0x8119,0x9,,,
0x7FE5,0x8,,,
0x7F74,0x8,,,
0x8034,0x7,,,
0x7FFB,0x9,,,
0x805A,0xA,,,
0x7FF2,0x8,,,
0x7FE1,0x8,,,
0x801E,0x8,,,
0x7FB7,0x7,,,
0x7FCE,0x9,,,
0x7FF0,0x9,,,
0x8007,0x9,,,
0x7F5B,0x6,,,
0x805E,0xB,,,
0x7FE8,0x7,,,
0x809A,0x8,,,
0x7FBF,0x9,,,
0x7FF1,0x8,,,
0x8006,0x6,,,
0x7F93,0xA,,,
0x7FBA,0x7,,,
